Date,Ticker,Open,High,Low,Close,Volume,VWAP,Transactions
2024-03-01,GOOGL,138.43,138.87,136.92,137.14,31132116.0,137.6962,389609
2024-03-04,GOOGL,135.66,135.66,131.91,133.35,55762415.0,133.1126,722926
2024-03-05,GOOGL,131.88,133.24,130.665,132.67,40194757.0,132.1109,482963
2024-03-06,GOOGL,133.12,133.58,130.85,131.4,35314110.0,131.5764,428451
2024-03-07,GOOGL,132.795,134.94,131.61,134.38,37716609.0,133.9216,431804
2024-03-08,GOOGL,134.21,138.085,134,135.41,39342392.0,136.2091,467313
2024-03-11,GOOGL,136.13,139.095,136.13,137.67,32437772.0,138.0371,411895
2024-03-12,GOOGL,137.03,139.375,137.03,138.5,27563354.0,138.5626,344283
2024-03-13,GOOGL,139,141.09,138.99,139.79,23293208.0,140.106,322649
2024-03-14,GOOGL,141.19,143.585,140.455,143.1,42753387.0,142.5414,524782
2024-03-15,GOOGL,142.5,143.18,140.03,141.18,49475417.0,141.2516,385589
2024-03-18,GOOGL,148.61,152.15,147.17,147.68,69263199.0,149.417,838235
2024-03-19,GOOGL,148.16,148.7913,146.08,147.03,24070435.0,146.8767,313567
2024-03-20,GOOGL,148,148.86,146.735,148.74,21311501.0,148.094,309239
2024-03-21,GOOGL,149.47,150.37,146.9001,147.6,24755597.0,147.9769,359409
2024-03-22,GOOGL,149.12,151.58,148.98,150.77,29211769.0,150.672,341655
2024-03-25,GOOGL,149.94,150.375,147.82,150.07,19229285.0,149.5433,272963
2024-03-26,GOOGL,150.22,152.256,149.98,150.67,22149137.0,151.0604,279230
2024-03-27,GOOGL,151.18,151.635,148.9,150.87,22879178.0,150.1969,303478
2024-03-28,GOOGL,150.85,151.43,150.17,150.93,24485390.0,150.8675,252124
2024-04-01,GOOGL,150.69,155.74,150.61,155.49,31730848.0,154.8589,400134
2024-04-02,GOOGL,153.5,154.7,152.15,154.56,24585985.0,153.7983,308546
2024-04-03,GOOGL,153.6,155.08,152.73,154.92,24704991.0,154.4268,301535
2024-04-04,GOOGL,153.5,154.77,150.45,150.53,34713138.0,152.4003,426081
2024-04-05,GOOGL,150.03,153.42,149.6,152.5,23459246.0,152.3253,308516
2024-04-08,GOOGL,152.78,155.27,152.61,154.85,20701974.0,154.6068,275573
2024-04-09,GOOGL,156.085,158.56,155.19,156.6,30765813.0,156.7015,387151
2024-04-10,GOOGL,156.21,156.61,154.68,156.14,22838629.0,155.7467,330071
2024-04-11,GOOGL,156.91,159.68,156.46,159.41,27166431.0,158.4161,333353
2024-04-12,GOOGL,157.96,160.2225,157.14,157.73,25353746.0,158.2057,324277
2024-04-15,GOOGL,158.86,159.24,154.59,154.86,27136472.0,156.5308,357445
2024-04-16,GOOGL,154.19,155.65,153.43,154.4,20779495.0,154.5255,298253
2024-04-17,GOOGL,155.62,157.08,154.58,155.47,21763130.0,155.7597,295796
2024-04-18,GOOGL,155.34,156.94,154.62,156.01,19883044.0,156.0341,283184
2024-04-19,GOOGL,156.2,156.36,152.3,154.09,32411039.0,154.2208,353932
2024-04-22,GOOGL,154.31,157.64,154.06,156.28,26446206.0,156.027,327895
2024-04-23,GOOGL,156.96,158.97,156.28,158.26,20941726.0,158.1226,278618
2024-04-24,GOOGL,157.49,159.565,157.165,159.13,22779112.0,158.2616,324173
2024-04-25,GOOGL,151.33,156.49,150.87,156,56985430.0,159.1117,724131
2024-04-26,GOOGL,174.37,174.71,169.65,171.95,64655299.0,172.0098,731529
2024-04-29,GOOGL,169.058,169.55,165.21,166.15,45610024.0,167.1575,520320
2024-04-30,GOOGL,165.612,168.1,162.6,162.78,33562861.0,164.5381,393267
2024-05-01,GOOGL,164.3,167.12,163.09,163.86,33493151.0,164.8487,406392
2024-05-02,GOOGL,164.785,166.73,163.89,166.62,24294549.0,165.7486,297229
2024-05-03,GOOGL,167.56,167.96,163.05,167.24,34661632.0,165.9312,429647
2024-05-06,GOOGL,167.46,168.14,166.03,168.1,21871283.0,167.266,312884
2024-05-07,GOOGL,168.5,171.76,168.39,171.25,28039696.0,170.7084,356112
2024-05-08,GOOGL,169,170.15,168.735,169.38,19536146.0,169.5414,240077
2024-05-09,GOOGL,169.39,170.69,168.18,169.96,15315900.0,169.2818,232395
2024-05-10,GOOGL,168.025,169.85,166.19,168.65,29799931.0,168.228,397942
2024-05-13,GOOGL,164.26,169.28,164,169.14,31327590.0,166.9002,423074
2024-05-14,GOOGL,169.77,171.25,168.8,170.34,25127138.0,170.1127,322375
2024-05-15,GOOGL,170.63,172.65,170.51,172.51,26948370.0,171.913,340477
2024-05-16,GOOGL,173.29,175.115,172.69,174.18,27867947.0,174.158,319821
2024-05-17,GOOGL,174.18,176.265,173.69,176.06,24479262.0,175.6884,277992
2024-05-20,GOOGL,176.192,178.77,176.08,176.92,22554400.0,177.1603,283641
2024-05-21,GOOGL,176.9,178.15,175.81,177.85,16717069.0,177.4869,232101
2024-05-22,GOOGL,176.644,177.15,175.21,176.38,17880042.0,176.0566,257741
2024-05-23,GOOGL,177.07,178.25,172.95,173.55,21024935.0,174.6852,280336
2024-05-24,GOOGL,174.98,175.77,173.65,174.99,16579438.0,175.0002,235035
2024-05-28,GOOGL,174.45,177.27,174.365,176.4,20570407.0,176.0216,311500
2024-05-29,GOOGL,175.43,176.836,174.72,175.9,23388693.0,176.0585,257399
2024-05-30,GOOGL,175.2,175.22,171.79,172.11,22935677.0,172.7807,300625
